Voltage (V),Current (A),Temperature (C),eRPM,Throttle Duty,Motor Duty,Phase Current (A),Power (W),Status 1,Status 2
50.840843,5.8,28.26,29841,8,8,0,294.88,1,0
50.870872,4.8,28.28,30180,8,8,0,244.18,1,0
50.840843,5.4,28.28,30261,8,8,0,274.54,1,0
50.840843,5.2,28.28,30110,8,8,0,264.37,1,0
50.840843,5.4,28.28,30178,8,8,0,274.54,1,0
50.750751,8,28.28,30537,12,12,0,406.01,1,0
50.780781,8.2,28.28,30783,12,12,0,416.4,1,0
50.780781,8.4,28.31,31797,12,12,0,426.56,1,0
50.750751,8.4,28.31,31986,12,12,0,426.31,1,0
50.750751,11.8,28.31,32778,14,14,0,598.86,1,0
50.720722,14.8,28.31,33295,14,14,0,750.67,1,0
50.750751,5.4,28.31,33666,14,14,0,274.05,1,0
51.231232,0.4,28.33,30758,14,14,0,20.49,1,0
51.051052,-1.8,28.33,26874,14,14,0,-91.89,1,0
50.450451,9.4,28.33,26500,19,19,0,474.23,1,0
50.690693,12,28.33,29306,19,19,0,608.29,1,0
50.720722,11.4,28.36,30745,19,19,0,578.22,1,0
50.450451,15.4,28.36,31990,22,22,0,776.94,1,0
50.63063,15.2,28.36,34523,22,22,0,769.59,1,0
50.660664,13.8,28.36,35958,22,22,0,699.12,1,0
50.690693,12.6,28.38,36616,22,22,0,638.7,1,0
50.720722,11.6,28.38,37474,22,22,0,588.36,1,0
50.240242,28.8,28.41,39047,27,27,106.67,1446.92,1,0
50.450451,22,28.41,41669,27,27,81.48,1109.91,1,0
50.540543,17.6,28.41,43126,27,27,65.19,889.51,1,0
50.540543,17.6,28.41,43755,27,27,65.19,889.51,1,0
50.600601,16.6,28.41,44410,27,27,61.48,839.97,1,0
50.33033,30.2,28.44,47352,31,31,97.42,1519.98,1,0
50.360363,24.8,28.49,48550,31,31,80,1248.94,1,0
50.450451,22.4,28.49,50083,31,31,72.26,1130.09,1,0
50.450451,21.4,28.49,50620,31,31,69.03,1079.64,1,0
50.060062,28,28.49,51372,35,35,80,1401.68,1,0
50.15015,35.2,28.49,54136,35,35,100.57,1765.29,1,0
50.300301,29,28.49,55178,35,35,82.86,1458.71,1,0
50.300301,26.2,28.49,55789,35,35,74.86,1317.87,1,0
49.879883,38.4,28.49,56787,38,38,101.05,1915.39,1,0
50.15015,37.8,28.51,59906,38,38,99.47,1895.68,1,0
50.210213,31.4,28.51,60144,38,38,82.63,1576.6,1,0
50.300301,31,28.51,60341,38,38,81.58,1559.31,1,0
50.210213,34.2,28.51,62108,40,40,85.5,1717.19,1,0
50.18018,32.4,28.51,60441,40,40,81,1625.84,1,0
50.240242,30,28.51,60726,40,40,75,1507.21,1,0
50.270271,30.6,28.51,61410,39,39,78.46,1538.27,1,0
50.15015,33.6,28.51,62525,40,40,84,1685.05,1,0
50.120121,34,28.54,63143,41,41,82.93,1704.08,1,0
50.15015,34.4,28.57,62669,40,40,86,1725.17,1,0
50.210213,34.4,28.57,63430,40,40,86,1727.23,1,0
50.210213,33,28.64,64283,41,41,80.49,1656.94,1,0
50.120121,37.6,28.64,63504,41,41,91.71,1884.52,1,0
50.090092,35.8,28.64,64589,42,42,85.24,1793.23,1,0
50.120121,34.2,28.64,64813,42,42,81.43,1714.11,1,0
50.15015,35,28.64,64670,42,42,83.33,1755.26,1,0
49.969971,43,28.64,66178,44,44,97.73,2148.71,1,0
50.030033,41.8,28.64,66687,44,44,95,2091.26,1,0
50.060062,37.6,28.64,67268,44,44,85.45,1882.26,1,0
50.060062,37.6,28.64,67997,43,43,87.44,1882.26,1,0
49.579582,45.8,28.64,68481,48,47,97.45,2270.74,1,0
49.729733,58.2,28.67,70658,48,48,121.25,2894.27,1,0
49.909912,50.4,28.67,72075,48,48,105,2515.46,1,0
49.909912,47.6,28.67,72687,48,48,99.17,2375.71,1,0
49.909912,45.2,28.67,72778,48,48,94.17,2255.93,1,0
49.939941,44.6,28.67,73256,48,48,92.92,2227.32,1,0
49.969971,45.6,28.72,73238,48,48,95,2278.63,1,0
49.939941,45,28.72,73083,48,48,93.75,2247.3,1,0
49.939941,43.8,28.72,73074,48,48,91.25,2187.37,1,0
49.81982,50.8,28.77,73207,49,49,103.67,2530.85,1,0
49.84985,49.6,28.8,74001,49,49,101.22,2472.55,1,0
49.84985,47.8,28.8,73852,49,49,97.55,2382.82,1,0
49.879883,47.6,28.8,75231,49,49,97.14,2374.28,1,0
49.879883,45.8,28.77,74042,49,49,93.47,2284.5,1,0
49.759762,51.6,28.77,74745,50,50,103.2,2567.6,1,0
49.81982,51,28.77,75071,50,50,102,2540.81,1,0
49.84985,50.8,28.8,75772,50,50,101.6,2532.37,1,0
49.66967,49.8,28.85,75739,51,51,97.65,2473.55,1,0
49.639641,54.2,28.85,76009,51,51,106.27,2690.47,1,0
49.81982,53.6,28.85,77088,51,51,105.1,2670.34,1,0
49.81982,52.2,28.88,77777,51,51,102.35,2600.59,1,0
49.789791,50.2,28.88,76631,51,51,98.43,2499.45,1,0
49.489491,63,28.9,77366,53,53,118.87,3117.84,1,0
49.66967,60.6,28.93,77672,53,53,114.34,3009.98,1,0
49.609612,58,28.95,79461,53,53,109.43,2877.36,1,0
49.66967,57,28.95,79838,53,53,107.55,2831.17,1,0
49.33934,70,28.95,80317,55,55,127.27,3453.75,1,0
49.429432,67.4,28.98,80796,55,55,122.55,3331.54,1,0
49.549549,64,29.01,82341,55,55,116.36,3171.17,1,0
